PLAYER,TEAM,AGE,GAMES PLAYED,WINS,LOSSES,MINUTES PLAYED,POINTS,FIELD GOALS MADE,FIELD GOALS ATTEMPTED,FIELD GOAL %,3 POINT FIELD GOALS MADE,3 POINT FIELD GOALS ATTEMPTED,3 POINT FIELD GOALS %,FREE THROWS MADE,FREE THROWS ATTEMPTED,FREE THROW %,OFFENSIVE REBOUNDS,DEFENSIVE REBOUNDS,REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,PERSONAL FOULS,FANTASY POINTS,DOUBLE DOUBLES,TRIPLE DOUBLES,PLUS MINUS
Furkan Korkmaz,PHI,21,19,13,6,11.2,4.5,1.6,4.2,38,0.7,2.4,28.3,0.6,0.7,85.7,0.3,1.5,1.8,1.1,0.3,0.6,0.1,0.9,9.8,0,0,0.5
JJ Redick,PHI,34,27,18,9,30.8,18.6,6.3,14.2,44.5,2.8,7.9,35.8,3.1,3.3,93.3,0.3,2,2.3,3,1.6,0.2,0.2,2.1,25.4,0,0,4.4
Jimmy Butler,PHI,29,22,12,10,34.9,21.4,7.6,15.7,48.4,1.6,4,40.2,4.6,5.5,83.5,1.9,3.3,5.2,3.6,1.6,2.2,0.8,1.9,40.4,2,0,-0.4
Joel Embiid,PHI,24,26,17,9,34.3,26.3,8.6,18.6,46.2,1.2,4.1,29,8,10.1,79.1,2.2,11.1,13.3,3.6,3.1,0.5,2,3.4,51.9,24,1,4.5
Jonah Bolden,PHI,22,7,4,3,6.1,1.4,0.6,1.6,36.4,0.1,1,14.3,0.1,0.3,50,0,1.3,1.3,0.3,0.4,0.4,0.1,1,4.7,0,0,2
Landry Shamet,PHI,21,27,18,9,21,7.8,2.6,6.1,43,1.7,4.4,37.5,0.9,1,85.2,0.1,1.1,1.3,1,0.6,0.4,0.1,1.8,11.9,0,0,-1.6
Markelle Fultz,PHI,20,19,12,7,22.5,8.2,3.4,8.2,41.9,0.2,0.7,28.6,1.1,1.9,56.8,1.4,2.3,3.7,3.1,1.3,0.9,0.3,2.7,19.4,0,0,-0.4
Mike Muscala,PHI,27,21,14,7,24,8.4,2.4,6.1,39.1,1.6,4.6,35.1,2,2.4,84,1.1,3.7,4.8,1.5,1,0.3,0.6,2.7,18.3,1,0,0.6
Shake Milton,PHI,22,1,1,0,10.5,5,2,4,50,1,2,50,0,0,0,0,0,0,2,0,1,1,1,14,0,0,1
T.J. McConnell,PHI,26,21,13,8,16.9,5,2.3,4,56.5,0.1,0.4,22.2,0.4,0.4,100,0.1,1.5,1.7,2.7,1.3,0.9,0.2,1.3,13.2,0,0,-0.8
Wilson Chandler,PHI,31,15,12,3,24.1,6,2.5,5,49.3,0.9,2.3,40,0.1,0.4,33.3,1.3,3.3,4.6,1.7,1,0.4,0.3,2.5,15.3,0,0,2.9
De'Anthony Melton,PHX,20,9,1,8,14.3,5.9,2.3,5.6,42,1,2.7,37.5,0.2,0.3,66.7,0.2,2,2.2,2.1,1.1,0.9,0.1,2.1,13.6,0,0,-3.2
Deandre Ayton,PHX,20,26,4,22,31.1,15.8,7,11.7,59.5,0,0.1,0,1.8,2.4,77.4,2.4,7.7,10.1,2.5,1.9,0.6,0.8,2.7,33.8,14,0,-6.1
Devin Booker,PHX,22,19,4,15,35.3,23.5,8.5,19.3,43.9,2.4,7.6,31.3,4.2,5,84.2,0.5,3.1,3.6,6.7,4.1,1.2,0.1,3.5,37.6,2,0,-4.2
Dragan Bender,PHX,21,9,1,8,7.6,2.3,0.8,2.1,36.8,0.2,1.2,18.2,0.6,0.6,100,0.6,0.9,1.4,0.4,0.4,0,0,0.7,4.3,0,0,1.7
Elie Okobo,PHX,21,17,2,15,19.6,6.9,2.7,7,38.7,0.8,2.8,27.7,0.8,0.8,92.9,0.3,1.8,2.1,2.5,1.4,0.6,0.2,2.7,14.1,0,0,-5.4
Isaiah Canaan,PHX,27,19,4,15,26.5,7.5,2.7,6.8,39.5,1.3,3.8,34.7,0.8,1.1,75,0.3,2.3,2.6,3.3,1.5,0.6,0,2.4,15.8,0,0,-6.7
Jamal Crawford,PHX,38,24,3,21,16.1,6.6,2.1,5.9,35.9,1,2.9,33.3,1.4,1.7,80.5,0.1,0.9,1,2.6,1.3,0.4,0.1,1.2,11.9,0,0,-7.7
Josh Jackson,PHX,21,26,4,22,19.8,8.5,3.2,8.2,39.6,0.5,2.2,25,1.5,2.2,65.5,0.4,2.9,3.3,2,2.5,0.9,0.5,2.2,17.5,0,0,-6.1
Mikal Bridges,PHX,22,26,4,22,22.6,7,2.5,6.2,41.3,1,3.2,32.1,0.9,1.1,82.1,0.4,1.7,2.2,1.2,0.8,1.4,0.3,2.3,15.6,0,0,-2.6
Richaun Holmes,PHX,25,25,3,22,14,6.4,2.7,4.2,65.4,0,0,0,1,1.6,58.5,1.7,2.8,4.4,0.4,1.1,0.6,1,2.3,16.1,2,0,-3.6
Ryan Anderson,PHX,30,15,3,12,18.5,3.7,1.3,4,31.7,0.5,2.3,20.6,0.7,0.9,78.6,0.9,2.1,3,1.1,0.8,0.2,0.1,1.5,9,0,0,-5.5
T.J. Warren,PHX,25,20,3,17,29.9,17.7,6.9,13.4,51.1,1.8,4,45,2.2,2.6,84.6,0.7,3.4,4.1,1.3,1.1,1,0.8,2.6,28.7,0,0,-5.1
