PLAYER,TEAM,AGE,GAMES PLAYED,WINS,LOSSES,MINUTES PLAYED,POINTS,FIELD GOALS MADE,FIELD GOALS ATTEMPTED,FIELD GOAL %,3 POINT FIELD GOALS MADE,3 POINT FIELD GOALS ATTEMPTED,3 POINT FIELD GOALS %,FREE THROWS MADE,FREE THROWS ATTEMPTED,FREE THROW %,OFFENSIVE REBOUNDS,DEFENSIVE REBOUNDS,REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,PERSONAL FOULS,FANTASY POINTS,DOUBLE DOUBLES,TRIPLE DOUBLES,PLUS MINUS
Royce O'Neale,UTA,25,26,13,13,17.1,4.7,1.9,4,47.1,0.5,1.4,37.8,0.4,0.5,78.6,0.3,2.5,2.8,1.2,0.9,0.6,0.2,1.8,11.1,0,0,-2.8
Rudy Gobert,UTA,26,26,13,13,31.2,15,5.7,8.3,69.3,0,0,0,3.5,5.9,59.5,3.5,8.9,12.4,1.7,1.5,0.9,2,2.8,39.7,22,0,3.2
Thabo Sefolosha,UTA,34,12,4,8,9.8,2,0.7,1.7,40,0.3,1,25,0.4,0.7,62.5,0.2,2.2,2.3,0.5,0.6,0.5,0.1,0.7,6.7,0,0,-1.3
Austin Rivers,WAS,26,25,11,14,22.8,7,2.6,6.6,38.8,1.1,3.6,30.3,0.8,1.4,60,0.4,2,2.4,1.8,1.3,0.6,0.4,2.6,14.4,0,0,-0.8
Bradley Beal,WAS,25,25,11,14,35.4,22.4,8.2,17.3,47.1,2.2,6.8,32.5,3.9,5,77.8,0.6,3.8,4.4,4.4,2.2,1,1.1,3.2,38.4,1,0,-2
Devin Robinson,WAS,23,2,0,2,9.1,5,2,3.5,57.1,0,0,0,1,1.5,66.7,1,2,3,0.5,0,1,0.5,1,13.9,0,0,0
Dwight Howard,WAS,33,9,4,5,25.5,12.8,4.8,7.7,62.3,0,0,0,3.2,5.3,60.4,2.7,6.6,9.2,0.4,1.8,0.8,0.4,3.8,26.4,3,0,-5.6
Ian Mahinmi,WAS,32,13,5,8,13.5,3.8,0.9,2.3,40,0.1,0.5,16.7,1.8,2.8,66.7,1.5,1.8,3.4,0.4,0.5,0.5,0.4,2.4,10.4,0,0,-2.8
Jeff Green,WAS,32,23,9,14,23.8,9.8,3.6,7.4,48.8,0.8,2.7,30.6,1.7,1.9,93,1.4,3.4,4.8,1.3,1.3,0.6,0.5,2,19.6,1,0,-1.2
John Wall,WAS,28,24,10,14,34.6,21.3,7.8,17.6,44.3,1.6,5,32.2,4,6,67.8,0.5,2.9,3.5,8.4,3.5,1.7,1,2.4,42.6,6,0,-4.2
Jordan McRae,WAS,27,4,1,3,5.5,0.5,0.3,1.8,14.3,0,0.5,0,0,0,0,0,1,1,0.5,0,0,0.3,0,3.2,0,0,-3
Kelly Oubre Jr.,WAS,22,25,11,14,25.1,12.3,4.3,10.1,42.5,1.5,4.6,31.9,2.2,2.8,81.2,0.7,3.8,4.5,0.7,1.1,0.9,0.7,2.4,22.5,0,0,-4.4
Markieff Morris,WAS,29,24,11,13,26.2,11.8,4.4,9.6,45.5,1.5,4.3,35,1.6,1.9,82.6,1.3,4,5.3,1.8,1.4,0.8,0.7,3.2,23.9,1,0,-3.5
Okaro White,WAS,26,2,1,1,2.1,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0.5,1,0,0,0,0,0,1.2,0,0,-1
Otto Porter Jr.,WAS,25,23,10,13,30.4,12,4.8,9.8,48.9,1.4,4,35.2,1.1,1.4,78.1,1,4.7,5.7,2,0.9,1.6,0.6,1.6,27.6,3,0,-0.7
Sam Dekker,WAS,24,9,1,8,18.8,6.3,2.4,5.3,45.8,0.6,1.4,38.5,0.9,1.1,80,1,2.7,3.7,1,0.6,1.2,0,1.4,15.3,0,0,-4.1
Thomas Bryant,WAS,21,15,8,7,12.6,5.7,2.2,3.7,58.9,0.1,1,13.3,1.1,1.3,89.5,1.1,2.7,3.8,0.7,0.7,0.3,0.6,1.1,13.5,0,0,-1.9
Tomas Satoransky,WAS,27,25,11,14,16.6,5.3,1.8,3.8,47.9,0.4,1.1,37,1.2,1.4,91.2,0.5,1.3,1.8,2.8,0.7,0.7,0.2,1.6,13.9,0,0,0.1
Troy Brown Jr.,WAS,19,12,4,8,6.3,2.8,1,2.4,41.4,0.2,0.4,40,0.6,0.7,87.5,0.3,1.3,1.6,0.8,0.3,0.3,0,0.4,6.3,0,0,0.8
